date,adjusted_close
2023-11-08,181.5593
2023-11-09,181.0828
2023-11-10,185.2876
2023-11-13,183.6971
2023-11-14,186.3213
2023-11-15,186.8879
2023-11-16,188.5778
2023-11-17,188.5579
2023-11-20,190.3074
2023-11-21,189.5023
2023-11-22,190.1683
2023-11-24,188.8362
2023-11-27,188.6573
2023-11-28,189.2637
2023-11-29,188.2398
2023-11-30,188.8164
2023-12-01,190.0987
2023-12-04,188.2995
2023-12-05,192.2657
2023-12-06,191.1722
2023-12-07,193.1106
2023-12-08,194.542
2023-12-11,192.0271
2023-12-12,193.548
2023-12-13,196.7786
2023-12-14,196.9277
2023-12-15,196.3909
2023-12-18,194.7209
2023-12-19,195.7647
2023-12-20,193.6672
2023-12-21,193.5181
2023-12-22,192.4446
2023-12-26,191.8979
2023-12-27,191.9973
2023-12-28,192.4247
2023-12-29,191.381
2024-01-02,184.5321
2024-01-03,183.1504
2024-01-04,180.8244
2024-01-05,180.0987
2024-01-08,184.4526
2024-01-09,184.0351
2024-01-10,185.0788
2024-01-11,184.4824
2024-01-12,184.8104
2024-01-16,182.5341
2024-01-17,181.5898
2024-01-18,187.5042
2024-01-19,190.4168
2024-01-22,192.7329
2024-01-23,194.0152
2024-01-24,193.3392
2024-01-25,193.0112
2024-01-26,191.2716
2024-01-29,190.5857
2024-01-30,186.9178
2024-01-31,183.2995
2024-02-01,185.7448
2024-02-02,184.7408
2024-02-05,186.5599
2024-02-06,188.1702
2024-02-07,188.2796
2024-02-08,187.1961
2024-02-09,187.9625
2024-02-12,186.2705
2024-02-13,184.1704
2024-02-14,183.2846
2024-02-15,182.9959
2024-02-16,181.4532
2024-02-20,180.7067
2024-02-21,181.4632
2024-02-22,183.5035
2024-02-23,181.6622
2024-02-26,180.3086
2024-02-27,181.7717
2024-02-28,180.5674
2024-02-29,179.9005
2024-03-01,178.8157
2024-03-04,174.2771
2024-03-05,169.3205
2024-03-06,168.3252
2024-03-07,168.2058
2024-03-08,169.9276
2024-03-11,171.9381
2024-03-12,172.4159
2024-03-13,170.3258
2024-03-14,172.187
2024-03-15,171.8088
2024-03-18,172.9036
2024-03-19,175.2525
2024-03-20,177.8303
2024-03-21,170.5646
2024-03-22,171.4704
2024-03-25,170.0471
2024-03-26,168.9124
2024-03-27,172.4955
2024-03-28,170.6741
2024-04-01,169.2309
2024-04-02,168.0465
2024-04-03,168.8527
2024-04-04,168.0266
2024-04-05,168.783
2024-04-08,167.6584
